timeStep feature1 f2 f3
0.0 0 0 0
0.4 -1 1 -1
0.8 -2 2 -2
1.2000000000000002 -3 3 -3
1.6 -4 4 -4
2.0 -5 5 -5
2.4000000000000004 -6 6 -6
2.8000000000000003 -7 7 -7
3.2 -8 8 -8
3.6 -9 9 -9
4.0 -10 10 -10
4.4 -11 11 -11
4.800000000000001 -12 12 -12
5.2 -13 13 -13
5.6000000000000005 -14 14 -14
6.0 -15 15 -15
6.4 -16 16 -16
6.800000000000001 -17 17 -17
7.2 -18 18 -18
7.6000000000000005 -19 19 -19
8.0 -20 20 -20
8.4 -21 21 -21
8.8 -22 22 -22
9.200000000000001 -23 23 -23
9.600000000000001 -24 24 -24
10.0 -25 25 -25
10.4 -26 26 -26
10.8 -27 27 -27
11.200000000000001 -28 28 -28
11.600000000000001 -29 29 -29
12.0 -30 30 -30
12.4 -31 31 -31
12.8 -32 32 -32
13.200000000000001 -33 33 -33
13.600000000000001 -34 34 -34
14.0 -35 35 -35
14.4 -36 36 -36
14.8 -37 37 -37
15.200000000000001 -38 38 -38
15.600000000000001 -39 39 -39
16.0 -40 40 -40
16.400000000000002 -41 41 -41
16.8 -42 42 -42
17.2 -43 43 -43
17.6 -44 44 -44
18.0 -45 45 -45
18.400000000000002 -46 46 -46
18.8 -47 47 -47
19.200000000000003 -48 48 -48
19.6 -49 49 -49
20.0 -50 50 -50
20.400000000000002 -51 51 -51
20.8 -52 52 -52
21.200000000000003 -53 53 -53
21.6 -54 54 -54
22.0 -55 55 -55
22.400000000000002 -56 56 -56
22.8 -57 57 -57
23.200000000000003 -58 58 -58
23.6 -59 59 -59
24.0 -60 60 -60
24.400000000000002 -61 61 -61
24.8 -62 62 -62
25.200000000000003 -63 63 -63
25.6 -64 64 -64
26.0 -65 65 -65
26.400000000000002 -66 66 -66
26.8 -67 67 -67
27.200000000000003 -68 68 -68
27.6 -69 69 -69
28.0 -70 70 -70
28.400000000000002 -71 71 -71
28.8 -72 72 -72
29.200000000000003 -73 73 -73
29.6 -74 74 -74
30.0 -75 75 -75
30.400000000000002 -76 76 -76
30.8 -77 77 -77
31.200000000000003 -78 78 -78
31.6 -79 79 -79
32.0 -80 80 -80
32.4 -81 81 -81
32.800000000000004 -82 82 -82
33.2 -83 83 -83
33.6 -84 84 -84
34.0 -85 85 -85
34.4 -86 86 -86
34.800000000000004 -87 87 -87
35.2 -88 88 -88
35.6 -89 89 -89
36.0 -90 90 -90
36.4 -91 91 -91
36.800000000000004 -92 92 -92
37.2 -93 93 -93
37.6 -94 94 -94
38.0 -95 95 -95
38.400000000000006 -96 96 -96
38.800000000000004 -97 97 -97
39.2 -98 98 -98
39.6 -99 99 -99
